weight	weight_residue	ell_1	a_ell_1	ell_2	a_ell_2	orbit	place	e	f	kind	weight_file
12	12	2	101	19	45	1	1	1	1	rational	weight_12.json
16	16	2	91	19	55	1	1	1	1	rational	weight_16.json
18	18	2	97	19	110	1	1	1	1	rational	weight_18.json
20	20	2	81	19	90	1	1	1	1	rational	weight_20.json
22	22	2	87	19	10	1	1	1	1	rational	weight_22.json
24	24	2	9	19	60	1	1	1	1	rational	weight_24.json
24	24	2	71	19	25	1	2	1	1	rational	weight_24.json
26	26	2	77	19	60	1	1	1	1	rational	weight_26.json
28	28	2	61	19	110	1	1	1	1	rational	weight_28.json
28	28	2	34	19	25	1	2	1	1	rational	weight_28.json
30	30	2	73	19	70	1	1	1	1	rational	weight_30.json
30	30	2	67	19	10	1	2	1	1	rational	weight_30.json
32	32	2	51	19	95	1	1	1	1	rational	weight_32.json
32	32	2	34	19	115	1	2	1	1	rational	weight_32.json
34	34	2	13	19	90	1	1	1	1	rational	weight_34.json
34	34	2	57	19	110	1	2	1	1	rational	weight_34.json
36	36	2	41	19	105	1	1	1	1	rational	weight_36.json
36	36	2	106	19	0	1	2	1	1	rational	weight_36.json
36	36	2	9	19	80	1	3	1	1	rational	weight_36.json
38	38	2	47	19	110	1	1	1	1	rational	weight_38.json
38	38	2	53	19	10	1	2	1	1	rational	weight_38.json
40	40	2	84	19	45	1	1	1	1	rational	weight_40.json
40	40	2	31	19	15	1	2	1	1	rational	weight_40.json
40	40	2	116	19	20	1	3	1	1	rational	weight_40.json
42	42	2	37	19	10	1	1	1	1	rational	weight_42.json
42	42	2	82	19	105	1	2	1	1	rational	weight_42.json
42	42	2	68	19	80	1	3	1	1	rational	weight_42.json
44	44	2	21	19	75	1	1	1	1	rational	weight_44.json
44	44	2	26	19	65	1	2	1	1	rational	weight_44.json
44	44	2	9	19	10	1	3	1	1	rational	weight_44.json
46	46	2	62	19	20	1	1	1	1	rational	weight_46.json
46	46	2	27	19	60	1	2	1	1	rational	weight_46.json
46	46	2	58	19	50	1	3	1	1	rational	weight_46.json
48	48	2	11	19	35	1	1	1	1	rational	weight_48.json
48	48	2	34	19	100	1	2	1	1	rational	weight_48.json
48	48	2	86	19	10	1	3	1	1	rational	weight_48.json
48	48	2	54	19	115	1	4	1	1	rational	weight_48.json
50	50	2	23	19	45	1	1	1	1	rational	weight_50.json
50	50	2	42	19	35	1	2	1	1	rational	weight_50.json
50	50	2	17	19	10	1	3	1	1	rational	weight_50.json
52	52	2	34	19	65	1	1	1	1	rational	weight_52.json
52	52	2	46	19	105	1	2	1	1	rational	weight_52.json
52	52	2	1	19	20	1	3	1	1	rational	weight_52.json
52	52	2	84	19	40	1	4	1	1	rational	weight_52.json
54	54	2	22	19	25	1	1	1	1	rational	weight_54.json
54	54	2	63	19	90	1	2	1	1	rational	weight_54.json
54	54	2	7	19	110	1	3	1	1	rational	weight_54.json
54	54	2	88	19	65	1	4	1	1	rational	weight_54.json
56	56	2	31	19	100	1	1	1	1	rational	weight_56.json
56	56	2	9	19	30	1	2	1	1	rational	weight_56.json
56	56	2	114	19	65	1	3	1	1	rational	weight_56.json
56	56	2	116	19	30	1	4	1	1	rational	weight_56.json
58	58	2	2	19	115	1	1	1	1	rational	weight_58.json
58	58	2	63	19	50	1	2	1	1	rational	weight_58.json
58	58	2	3	19	110	1	3	1	1	rational	weight_58.json
58	58	2	122	19	110	1	4	1	1	rational	weight_58.json
60	60	2	106	19	65	1	1	1	1	rational	weight_60.json
60	60	2	41	19	120	1	2	1	1	rational	weight_60.json
60	60	2	11	19	30	1	3	1	1	rational	weight_60.json
60	60	2	84	19	120	1	4	1	1	rational	weight_60.json
60	60	2	19	19	65	1	5	1	1	rational	weight_60.json
62	62	2	18	19	55	1	1	1	1	rational	weight_62.json
62	62	2	112	19	10	1	2	1	1	rational	weight_62.json
62	62	2	107	19	55	1	3	1	1	rational	weight_62.json
62	62	2	13	19	10	1	4	1	1	rational	weight_62.json
64	64	2	116	19	85	1	1	1	1	rational	weight_64.json
64	64	2	96	19	0	1	2	1	1	rational	weight_64.json
64	64	2	76	19	40	1	3	1	1	rational	weight_64.json
64	64	2	49	19	40	1	4	1	1	rational	weight_64.json
64	64	2	9	19	85	1	5	1	1	rational	weight_64.json
66	66	2	117	19	25	1	1	1	1	rational	weight_66.json
66	66	2	8	19	25	1	2	1	1	rational	weight_66.json
66	66	2	38	19	95	1	3	1	1	rational	weight_66.json
66	66	2	102	19	60	1	4	1	1	rational	weight_66.json
66	66	2	87	19	95	1	5	1	1	rational	weight_66.json
68	68	2	11	19	110	1	1	1	1	rational	weight_68.json
68	68	2	79	19	115	1	2	1	1	rational	weight_68.json
68	68	2	46	19	115	1	3	1	1	rational	weight_68.json
68	68	2	34	19	50	1	4	1	1	rational	weight_68.json
68	68	2	86	19	85	1	5	1	1	rational	weight_68.json
70	70	2	92	19	10	1	1	1	1	rational	weight_70.json
70	70	2	98	19	20	1	2	1	1	rational	weight_70.json
70	70	2	112	19	55	1	3	1	1	rational	weight_70.json
70	70	2	13	19	55	1	4	1	1	rational	weight_70.json
70	70	2	67	19	110	1	5	1	1	rational	weight_70.json
72	72	2	76	19	70	1	1	1	1	rational	weight_72.json
72	72	2	74	19	120	1	2	1	1	rational	weight_72.json
72	72	2	109	19	40	1	3	1	1	rational	weight_72.json
72	72	2	96	19	80	1	4	1	1	rational	weight_72.json
72	72	2	34	19	15	1	5	1	1	rational	weight_72.json
72	72	2	51	19	120	1	6	1	1	rational	weight_72.json
74	74	2	63	19	15	1	1	1	1	rational	weight_74.json
74	74	2	47	19	100	1	2	1	1	rational	weight_74.json
74	74	2	32	19	60	1	3	1	1	rational	weight_74.json
74	74	2	82	19	110	1	4	1	1	rational	weight_74.json
74	74	2	38	19	40	1	5	1	1	rational	weight_74.json
76	76	2	6	19	100	1	1	1	1	rational	weight_76.json
76	76	2	66	19	80	1	2	1	1	rational	weight_76.json
76	76	2	34	19	30	1	3	1	1	rational	weight_76.json
76	76	2	9	19	105	1	4	1	1	rational	weight_76.json
76	76	2	14	19	65	1	5	1	1	rational	weight_76.json
76	76	2	81	19	75	1	6	1	1	rational	weight_76.json
78	78	2	2	19	40	1	1	1	1	rational	weight_78.json
78	78	2	3	19	35	1	2	1	1	rational	weight_78.json
78	78	2	78	19	85	1	3	1	1	rational	weight_78.json
78	78	2	72	19	110	1	4	1	1	rational	weight_78.json
78	78	2	27	19	65	1	5	1	1	rational	weight_78.json
78	78	2	63	19	100	1	6	1	1	rational	weight_78.json
80	80	2	56	19	115	1	1	1	1	rational	weight_80.json
80	80	2	44	19	65	1	2	1	1	rational	weight_80.json
80	80	2	119	19	90	1	3	1	1	rational	weight_80.json
80	80	2	36	19	55	1	4	1	1	rational	weight_80.json
80	80	2	84	19	70	1	5	1	1	rational	weight_80.json
80	80	2	91	19	95	1	6	1	1	rational	weight_80.json
82	82	2	22	19	120	1	1	1	1	rational	weight_82.json
82	82	2	62	19	10	1	2	1	1	rational	weight_82.json
82	82	2	13	19	60	1	3	1	1	rational	weight_82.json
82	82	2	38	19	35	1	4	1	1	rational	weight_82.json
82	82	2	93	19	30	1	5	1	1	rational	weight_82.json
82	82	2	7	19	5	1	6	1	1	rational	weight_82.json
84	84	2	46	19	50	1	1	1	1	rational	weight_84.json
84	84	2	66	19	10	1	2	1	1	rational	weight_84.json
84	84	2	16	19	110	1	3	1	1	rational	weight_84.json
84	84	2	9	19	35	1	4	1	1	rational	weight_84.json
84	84	2	1	19	15	1	5	1	1	rational	weight_84.json
84	84	2	74	19	40	1	6	1	1	rational	weight_84.json
84	84	2	79	19	50	1	7	1	1	rational	weight_84.json
86	86	2	83	19	0	1	1	1	1	rational	weight_86.json
86	86	2	73	19	60	1	2	1	1	rational	weight_86.json
86	86	2	38	19	20	1	3	1	1	rational	weight_86.json
86	86	2	92	19	50	1	4	1	1	rational	weight_86.json
86	86	2	52	19	60	1	5	1	1	rational	weight_86.json
86	86	2	112	19	45	1	6	1	1	rational	weight_86.json
88	88	2	39	19	35	1	1	1	1	rational	weight_88.json
88	88	2	71	19	15	1	2	1	1	rational	weight_88.json
88	88	2	36	19	10	1	3	1	1	rational	weight_88.json
88	88	2	91	19	0	1	4	1	1	rational	weight_88.json
88	88	2	104	19	115	1	5	1	1	rational	weight_88.json
88	88	2	61	19	85	1	6	1	1	rational	weight_88.json
88	88	2	34	19	0	1	7	1	1	rational	weight_88.json
90	90	2	87	19	80	1	1	1	1	rational	weight_90.json
90	90	2	42	19	10	1	2	1	1	rational	weight_90.json
