weight	weight_residue	ell_1	a_ell_1	ell_2	a_ell_2	orbit	place	e	f	kind	weight_file
12	12	2	219	7	23	1	1	1	1	rational	weight_12.json
16	16	2	216	7	11	1	1	1	1	rational	weight_16.json
18	18	2	201	7	167	1	1	1	1	rational	weight_18.json
20	20	2	213	7	116	1	1	1	1	rational	weight_20.json
22	22	2	198	7	209	1	1	1	1	rational	weight_22.json
24	24	2	183	7	149	1	1	1	1	rational	weight_24.json
24	24	2	168	7	230	1	2	1	1	rational	weight_24.json
26	26	2	195	7	206	1	1	1	1	rational	weight_26.json
28	28	2	weight_28.json#orbit=1,place=1,coordinate=0	7	weight_28.json#orbit=1,place=1,coordinate=1	1	1	1	2	algebraic	weight_28.json
30	30	2	165	7	212	1	1	1	1	rational	weight_30.json
30	30	2	213	7	131	1	2	1	1	rational	weight_30.json
32	32	2	177	7	134	1	1	1	1	rational	weight_32.json
32	32	2	174	7	53	1	2	1	1	rational	weight_32.json
34	34	2	144	7	200	1	1	1	1	rational	weight_34.json
34	34	2	162	7	119	1	2	1	1	rational	weight_34.json
36	36	2	147	7	113	1	1	1	1	rational	weight_36.json
36	36	2	174	7	32	1	2	1	1	rational	weight_36.json
36	36	2	96	7	113	1	3	1	1	rational	weight_36.json
38	38	2	84	7	143	1	1	1	1	rational	weight_38.json
38	38	2	159	7	143	1	2	1	1	rational	weight_38.json
40	40	2	81	7	236	1	1	1	1	rational	weight_40.json
40	40	2	180	7	74	1	2	1	1	rational	weight_40.json
40	40	2	144	7	74	1	3	1	1	rational	weight_40.json
42	42	2	60	7	176	1	1	1	1	rational	weight_42.json
42	42	2	129	7	95	1	2	1	1	rational	weight_42.json
42	42	2	183	7	176	1	3	1	1	rational	weight_42.json
44	44	2	75	7	71	1	1	1	1	rational	weight_44.json
44	44	2	168	7	71	1	2	1	1	rational	weight_44.json
44	44	2	141	7	233	1	3	1	1	rational	weight_44.json
46	46	2	162	7	29	1	1	1	1	rational	weight_46.json
46	46	2	weight_46.json#orbit=1,place=2,coordinate=0	7	weight_46.json#orbit=1,place=2,coordinate=1	1	2	1	2	algebraic	weight_46.json
48	48	2	213	7	158	1	1	1	1	rational	weight_48.json
48	48	2	105	7	77	1	2	1	1	rational	weight_48.json
48	48	2	111	7	158	1	3	1	1	rational	weight_48.json
48	48	2	30	7	158	1	4	1	1	rational	weight_48.json
50	50	2	204	7	161	1	1	1	1	rational	weight_50.json
50	50	2	147	7	80	1	2	1	1	rational	weight_50.json
50	50	2	123	7	161	1	3	1	1	rational	weight_50.json
52	52	2	81	7	227	1	1	1	1	rational	weight_52.json
52	52	2	108	7	227	1	2	1	1	rational	weight_52.json
52	52	2	198	7	65	1	3	1	1	rational	weight_52.json
52	52	2	225	7	65	1	4	1	1	rational	weight_52.json
54	54	2	69	7	59	1	1	1	1	rational	weight_54.json
54	54	2	231	7	59	1	2	1	1	rational	weight_54.json
54	54	2	201	7	221	1	3	1	1	rational	weight_54.json
54	54	2	93	7	59	1	4	1	1	rational	weight_54.json
56	56	2	105	7	170	1	1	1	1	rational	weight_56.json
56	56	2	57	7	170	1	2	1	1	rational	weight_56.json
56	56	2	78	7	89	1	3	1	1	rational	weight_56.json
56	56	2	219	7	170	1	4	1	1	rational	weight_56.json
58	58	2	135	7	101	1	1	1	1	rational	weight_58.json
58	58	2	90	7	182	1	2	1	1	rational	weight_58.json
58	58	2	99	7	182	1	3	1	1	rational	weight_58.json
58	58	2	126	7	182	1	4	1	1	rational	weight_58.json
60	60	2	210	7	122	1	1	1	1	rational	weight_60.json
60	60	2	75	7	41	1	2	1	1	rational	weight_60.json
60	60	2	195	7	122	1	3	1	1	rational	weight_60.json
60	60	2	168	7	41	1	4	1	1	rational	weight_60.json
60	60	2	129	7	122	1	5	1	1	rational	weight_60.json
62	62	2	87	7	17	1	1	1	1	rational	weight_62.json
62	62	2	33	7	98	1	2	1	1	rational	weight_62.json
62	62	2	156	7	17	1	3	1	1	rational	weight_62.json
62	62	2	48	7	98	1	4	1	1	rational	weight_62.json
64	64	2	108	7	137	1	1	1	1	rational	weight_64.json
64	64	2	207	7	218	1	2	1	1	rational	weight_64.json
64	64	2	18	7	218	1	3	1	1	rational	weight_64.json
64	64	2	weight_64.json#orbit=1,place=4,coordinate=0	7	weight_64.json#orbit=1,place=4,coordinate=1	1	4	1	2	algebraic	weight_64.json
66	66	2	57	7	104	1	1	1	1	rational	weight_66.json
66	66	2	57	7	104	1	2	1	1	rational	weight_66.json
66	66	2	24	7	104	1	3	1	1	rational	weight_66.json
66	66	2	240	7	23	1	4	1	1	rational	weight_66.json
66	66	2	3	7	23	1	5	1	1	rational	weight_66.json
68	68	2	69	7	188	1	1	1	1	rational	weight_68.json
68	68	2	93	7	188	1	2	1	1	rational	weight_68.json
68	68	2	120	7	107	1	3	1	1	rational	weight_68.json
68	68	2	123	7	107	1	4	1	1	rational	weight_68.json
68	68	2	69	7	188	1	5	1	1	rational	weight_68.json
70	70	2	135	7	92	1	1	1	1	rational	weight_70.json
70	70	2	54	7	92	1	2	1	1	rational	weight_70.json
70	70	2	45	7	173	1	3	1	1	rational	weight_70.json
70	70	2	weight_70.json#orbit=1,place=4,coordinate=0	7	weight_70.json#orbit=1,place=4,coordinate=1	1	4	1	2	algebraic	weight_70.json
72	72	2	39	7	5	1	1	1	1	rational	weight_72.json
72	72	2	39	7	5	1	2	1	1	rational	weight_72.json
72	72	2	15	7	167	1	3	1	1	rational	weight_72.json
72	72	2	228	7	167	1	4	1	1	rational	weight_72.json
72	72	2	123	7	5	1	5	1	1	rational	weight_72.json
72	72	2	123	7	5	1	6	1	1	rational	weight_72.json
74	74	2	30	7	197	1	1	1	1	rational	weight_74.json
74	74	2	51	7	197	1	2	1	1	rational	weight_74.json
74	74	2	186	7	116	1	3	1	1	rational	weight_74.json
74	74	2	30	7	197	1	4	1	1	rational	weight_74.json
74	74	2	51	7	197	1	5	1	1	rational	weight_74.json
76	76	2	189	7	209	1	1	1	1	rational	weight_76.json
76	76	2	108	7	209	1	2	1	1	rational	weight_76.json
76	76	2	117	7	47	1	3	1	1	rational	weight_76.json
76	76	2	36	7	47	1	4	1	1	rational	weight_76.json
76	76	2	weight_76.json#orbit=1,place=5,coordinate=0	7	weight_76.json#orbit=1,place=5,coordinate=1	1	5	1	2	algebraic	weight_76.json
78	78	2	222	7	230	1	1	1	1	rational	weight_78.json
78	78	2	237	7	68	1	2	1	1	rational	weight_78.json
78	78	2	87	7	68	1	3	1	1	rational	weight_78.json
78	78	2	21	7	230	1	4	1	1	rational	weight_78.json
78	78	2	237	7	68	1	5	1	1	rational	weight_78.json
78	78	2	87	7	68	1	6	1	1	rational	weight_78.json
80	80	2	21	7	125	1	1	1	1	rational	weight_80.json
80	80	2	141	7	125	1	2	1	1	rational	weight_80.json
80	80	2	210	7	44	1	3	1	1	rational	weight_80.json
80	80	2	21	7	125	1	4	1	1	rational	weight_80.json
80	80	2	141	7	125	1	5	1	1	rational	weight_80.json
80	80	2	33	7	44	1	6	1	1	rational	weight_80.json
82	82	2	135	7	2	1	1	1	1	rational	weight_82.json
82	82	2	54	7	2	1	2	1	1	rational	weight_82.json
82	82	2	225	7	83	1	3	1	1	rational	weight_82.json
82	82	2	36	7	83	1	4	1	1	rational	weight_82.json
82	82	2	weight_82.json#orbit=1,place=5,coordinate=0	7	weight_82.json#orbit=1,place=5,coordinate=1	1	5	1	2	algebraic	weight_82.json
84	84	2	78	7	50	1	1	1	1	rational	weight_84.json
84	84	2	111	7	212	1	2	1	1	rational	weight_84.json
84	84	2	3	7	50	1	3	1	1	rational	weight_84.json
84	84	2	78	7	50	1	4	1	1	rational	weight_84.json
84	84	2	84	7	50	1	5	1	1	rational	weight_84.json
84	84	2	132	7	212	1	6	1	1	rational	weight_84.json
84	84	2	84	7	50	1	7	1	1	rational	weight_84.json
86	86	2	15	7	215	1	1	1	1	rational	weight_86.json
86	86	2	147	7	215	1	2	1	1	rational	weight_86.json
86	86	2	150	7	134	1	3	1	1	rational	weight_86.json
86	86	2	93	7	134	1	4	1	1	rational	weight_86.json
86	86	2	177	7	215	1	5	1	1	rational	weight_86.json
86	86	2	147	7	215	1	6	1	1	rational	weight_86.json
88	88	2	0	7	200	1	1	1	1	rational	weight_88.json
88	88	2	189	7	200	1	2	1	1	rational	weight_88.json
88	88	2	108	7	200	1	3	1	1	rational	weight_88.json
88	88	2	63	7	38	1	4	1	1	rational	weight_88.json
88	88	2	117	7	38	1	5	1	1	rational	weight_88.json
88	88	2	weight_88.json#orbit=1,place=6,coordinate=0	7	weight_88.json#orbit=1,place=6,coordinate=1	1	6	1	2	algebraic	weight_88.json
90	90	2	15	7	194	1	1	1	1	rational	weight_90.json
90	90	2	228	7	194	1	2	1	1	rational	weight_90.json
90	90	2	147	7	194	1	3	1	1	rational	weight_90.json
90	90	2	177	7	194	1	4	1	1	rational	weight_90.json
90	90	2	231	7	113	1	5	1	1	rational	weight_90.json
90	90	2	147	7	194	1	6	1	1	rational	weight_90.json
90	90	2	12	7	113	1	7	1	1	rational	weight_90.json
92	92	2	78	7	224	1	1	1	1	rational	weight_92.json
92	92	2	78	7	224	1	2	1	1	rational	weight_92.json
92	92	2	3	7	224	1	3	1	1	rational	weight_92.json
92	92	2	192	7	143	1	4	1	1	rational	weight_92.json
92	92	2	51	7	143	1	5	1	1	rational	weight_92.json
92	92	2	240	7	224	1	6	1	1	rational	weight_92.json
92	92	2	84	7	224	1	7	1	1	rational	weight_92.json
94	94	2	0	7	74	1	1	1	1	rational	weight_94.json
94	94	2	54	7	74	1	2	1	1	rational	weight_94.json
94	94	2	18	7	155	1	3	1	1	rational	weight_94.json
94	94	2	225	7	155	1	4	1	1	rational	weight_94.json
94	94	2	207	7	155	1	5	1	1	rational	weight_94.json
94	94	2	weight_94.json#orbit=1,place=6,coordinate=0	7	weight_94.json#orbit=1,place=6,coordinate=1	1	6	1	2	algebraic	weight_94.json
96	96	2	102	7	14	1	1	1	1	rational	weight_96.json
96	96	2	33	7	176	1	2	1	1	rational	weight_96.json
96	96	2	21	7	14	1	3	1	1	rational	weight_96.json
96	96	2	222	7	14	1	4	1	1	rational	weight_96.json
96	96	2	60	7	14	1	5	1	1	rational	weight_96.json
96	96	2	210	7	176	1	6	1	1	rational	weight_96.json
96	96	2	60	7	14	1	7	1	1	rational	weight_96.json
96	96	2	210	7	176	1	8	1	1	rational	weight_96.json
98	98	2	156	7	152	1	1	1	1	rational	weight_98.json
98	98	2	21	7	71	1	2	1	1	rational	weight_98.json
98	98	2	222	7	71	1	3	1	1	rational	weight_98.json
98	98	2	168	7	152	1	4	1	1	rational	weight_98.json
98	98	2	222	7	71	1	5	1	1	rational	weight_98.json
98	98	2	237	7	152	1	6	1	1	rational	weight_98.json
98	98	2	6	7	152	1	7	1	1	rational	weight_98.json
100	100	2	0	7	110	1	1	1	1	rational	weight_100.json
100	100	2	189	7	110	1	2	1	1	rational	weight_100.json
100	100	2	18	7	191	1	3	1	1	rational	weight_100.json
100	100	2	207	7	191	1	4	1	1	rational	weight_100.json
100	100	2	weight_100.json#orbit=1,place=5,coordinate=0	7	weight_100.json#orbit=1,place=5,coordinate=1	1	5	1	2	algebraic	weight_100.json
100	100	2	weight_100.json#orbit=1,place=6,coordinate=0	7	weight_100.json#orbit=1,place=6,coordinate=1	1	6	1	2	algebraic	weight_100.json
102	102	2	132	7	239	1	1	1	1	rational	weight_102.json
102	102	2	30	7	239	1	2	1	1	rational	weight_102.json
102	102	2	24	7	158	1	3	1	1	rational	weight_102.json
102	102	2	192	7	239	1	4	1	1	rational	weight_102.json
102	102	2	24	7	158	1	5	1	1	rational	weight_102.json
102	102	2	51	7	239	1	6	1	1	rational	weight_102.json
102	102	2	111	7	239	1	7	1	1	rational	weight_102.json
102	102	2	219	7	158	1	8	1	1	rational	weight_102.json
104	104	2	66	7	161	1	1	1	1	rational	weight_104.json
104	104	2	204	7	242	1	2	1	1	rational	weight_104.json
104	104	2	39	7	242	1	3	1	1	rational	weight_104.json
104	104	2	66	7	161	1	4	1	1	rational	weight_104.json
104	104	2	201	7	242	1	5	1	1	rational	weight_104.json
104	104	2	42	7	242	1	6	1	1	rational	weight_104.json
104	104	2	177	7	161	1	7	1	1	rational	weight_104.json
104	104	2	123	7	242	1	8	1	1	rational	weight_104.json
106	106	2	0	7	65	1	1	1	1	rational	weight_106.json
106	106	2	189	7	65	1	2	1	1	rational	weight_106.json
106	106	2	54	7	65	1	3	1	1	rational	weight_106.json
106	106	2	63	7	146	1	4	1	1	rational	weight_106.json
106	106	2	126	7	146	1	5	1	1	rational	weight_106.json
106	106	2	9	7	146	1	6	1	1	rational	weight_106.json
106	106	2	180	7	146	1	7	1	1	rational	weight_106.json
106	106	2	117	7	146	1	8	1	1	rational	weight_106.json
108	108	2	39	7	59	1	1	1	1	rational	weight_108.json
108	108	2	204	7	59	1	2	1	1	rational	weight_108.json
108	108	2	231	7	140	1	3	1	1	rational	weight_108.json
108	108	2	93	7	140	1	4	1	1	rational	weight_108.json
108	108	2	150	7	140	1	5	1	1	rational	weight_108.json
108	108	2	69	7	140	1	6	1	1	rational	weight_108.json
108	108	2	174	7	140	1	7	1	1	rational	weight_108.json
108	108	2	39	7	59	1	8	1	1	rational	weight_108.json
108	108	2	12	7	140	1	9	1	1	rational	weight_108.json
110	110	2	219	7	8	1	1	1	1	rational	weight_110.json
110	110	2	186	7	8	1	2	1	1	rational	weight_110.json
110	110	2	24	7	8	1	3	1	1	rational	weight_110.json
110	110	2	84	7	170	1	4	1	1	rational	weight_110.json
110	110	2	57	7	8	1	5	1	1	rational	weight_110.json
110	110	2	105	7	8	1	6	1	1	rational	weight_110.json
110	110	2	159	7	170	1	7	1	1	rational	weight_110.json
110	110	2	138	7	8	1	8	1	1	rational	weight_110.json
112	112	2	0	7	182	1	1	1	1	rational	weight_112.json
112	112	2	54	7	182	1	2	1	1	rational	weight_112.json
112	112	2	189	7	182	1	3	1	1	rational	weight_112.json
112	112	2	207	7	20	1	4	1	1	rational	weight_112.json
112	112	2	72	7	20	1	5	1	1	rational	weight_112.json
112	112	2	36	7	20	1	6	1	1	rational	weight_112.json
112	112	2	18	7	20	1	7	1	1	rational	weight_112.json
112	112	2	225	7	20	1	8	1	1	rational	weight_112.json
112	112	2	171	7	20	1	9	1	1	rational	weight_112.json
114	114	2	156	7	122	1	1	1	1	rational	weight_114.json
114	114	2	87	7	122	1	2	1	1	rational	weight_114.json
114	114	2	129	7	203	1	3	1	1	rational	weight_114.json
114	114	2	210	7	203	1	4	1	1	rational	weight_114.json
114	114	2	195	7	203	1	5	1	1	rational	weight_114.json
114	114	2	114	7	203	1	6	1	1	rational	weight_114.json
114	114	2	156	7	122	1	7	1	1	rational	weight_114.json
114	114	2	33	7	203	1	8	1	1	rational	weight_114.json
114	114	2	48	7	203	1	9	1	1	rational	weight_114.json
116	116	2	168	7	98	1	1	1	1	rational	weight_116.json
116	116	2	75	7	98	1	2	1	1	rational	weight_116.json
116	116	2	48	7	179	1	3	1	1	rational	weight_116.json
116	116	2	33	7	179	1	4	1	1	rational	weight_116.json
116	116	2	210	7	179	1	5	1	1	rational	weight_116.json
116	116	2	114	7	179	1	6	1	1	rational	weight_116.json
116	116	2	195	7	179	1	7	1	1	rational	weight_116.json
116	116	2	168	7	98	1	8	1	1	rational	weight_116.json
116	116	2	129	7	179	1	9	1	1	rational	weight_116.json
118	118	2	0	7	218	1	1	1	1	rational	weight_118.json
118	118	2	189	7	218	1	2	1	1	rational	weight_118.json
118	118	2	54	7	218	1	3	1	1	rational	weight_118.json
118	118	2	18	7	56	1	4	1	1	rational	weight_118.json
118	118	2	207	7	56	1	5	1	1	rational	weight_118.json
118	118	2	weight_118.json#orbit=1,place=6,coordinate=0	7	weight_118.json#orbit=1,place=6,coordinate=1	1	6	1	2	algebraic	weight_118.json
118	118	2	weight_118.json#orbit=1,place=7,coordinate=0	7	weight_118.json#orbit=1,place=7,coordinate=1	1	7	1	2	algebraic	weight_118.json
120	120	2	84	7	104	1	1	1	1	rational	weight_120.json
120	120	2	138	7	185	1	2	1	1	rational	weight_120.json
120	120	2	105	7	185	1	3	1	1	rational	weight_120.json
120	120	2	219	7	185	1	4	1	1	rational	weight_120.json
120	120	2	186	7	185	1	5	1	1	rational	weight_120.json
120	120	2	24	7	185	1	6	1	1	rational	weight_120.json
