weight	weight_residue	ell_1	a_ell_1	ell_2	a_ell_2	orbit	place	e	f	kind	weight_file
12	12	2	57	7	23	1	1	1	1	rational	weight_12.json
16	16	2	54	7	11	1	1	1	1	rational	weight_16.json
18	18	2	39	7	5	1	1	1	1	rational	weight_18.json
20	20	2	51	7	35	1	1	1	1	rational	weight_20.json
22	22	2	36	7	47	1	1	1	1	rational	weight_22.json
24	24	2	6	7	68	1	1	1	1	rational	weight_24.json
24	24	2	21	7	68	1	2	1	1	rational	weight_24.json
26	26	2	33	7	44	1	1	1	1	rational	weight_26.json
28	28	2	weight_28.json#orbit=1,place=1,coordinate=0	7	weight_28.json#orbit=1,place=1,coordinate=1	1	1	1	2	algebraic	weight_28.json
30	30	2	51	7	50	1	1	1	1	rational	weight_30.json
30	30	2	3	7	50	1	2	1	1	rational	weight_30.json
32	32	2	12	7	53	1	1	1	1	rational	weight_32.json
32	32	2	15	7	53	1	2	1	1	rational	weight_32.json
34	34	2	0	7	38	1	1	1	1	rational	weight_34.json
34	34	2	63	7	38	1	2	1	1	rational	weight_34.json
36	36	2	15	7	32	1	1	1	1	rational	weight_36.json
36	36	2	66	7	32	1	2	1	1	rational	weight_36.json
36	36	2	12	7	32	1	3	1	1	rational	weight_36.json
38	38	2	78	7	62	1	1	1	1	rational	weight_38.json
38	38	2	3	7	62	1	2	1	1	rational	weight_38.json
40	40	2	0	7	74	1	1	1	1	rational	weight_40.json
40	40	2	18	7	74	1	2	1	1	rational	weight_40.json
40	40	2	63	7	74	1	3	1	1	rational	weight_40.json
42	42	2	48	7	14	1	1	1	1	rational	weight_42.json
42	42	2	21	7	14	1	2	1	1	rational	weight_42.json
42	42	2	60	7	14	1	3	1	1	rational	weight_42.json
44	44	2	75	7	71	1	1	1	1	rational	weight_44.json
44	44	2	60	7	71	1	2	1	1	rational	weight_44.json
44	44	2	6	7	71	1	3	1	1	rational	weight_44.json
46	46	2	0	7	29	1	1	1	1	rational	weight_46.json
46	46	2	weight_46.json#orbit=1,place=2,coordinate=0	7	weight_46.json#orbit=1,place=2,coordinate=1	1	2	1	2	algebraic	weight_46.json
48	48	2	24	7	77	1	1	1	1	rational	weight_48.json
48	48	2	30	7	77	1	2	1	1	rational	weight_48.json
48	48	2	30	7	77	1	3	1	1	rational	weight_48.json
48	48	2	51	7	77	1	4	1	1	rational	weight_48.json
50	50	2	66	7	80	1	1	1	1	rational	weight_50.json
50	50	2	42	7	80	1	2	1	1	rational	weight_50.json
50	50	2	42	7	80	1	3	1	1	rational	weight_50.json
52	52	2	36	7	65	1	1	1	1	rational	weight_52.json
52	52	2	0	7	65	1	2	1	1	rational	weight_52.json
52	52	2	63	7	65	1	3	1	1	rational	weight_52.json
52	52	2	27	7	65	1	4	1	1	rational	weight_52.json
54	0	2	69	7	59	1	1	1	1	rational	weight_54.json
54	0	2	12	7	59	1	2	1	1	rational	weight_54.json
54	0	2	39	7	59	1	3	1	1	rational	weight_54.json
54	0	2	69	7	59	1	4	1	1	rational	weight_54.json
56	2	2	24	7	8	1	1	1	1	rational	weight_56.json
56	2	2	57	7	8	1	2	1	1	rational	weight_56.json
56	2	2	78	7	8	1	3	1	1	rational	weight_56.json
56	2	2	57	7	8	1	4	1	1	rational	weight_56.json
58	4	2	54	7	20	1	1	1	1	rational	weight_58.json
58	4	2	18	7	20	1	2	1	1	rational	weight_58.json
58	4	2	45	7	20	1	3	1	1	rational	weight_58.json
58	4	2	9	7	20	1	4	1	1	rational	weight_58.json
60	6	2	75	7	41	1	1	1	1	rational	weight_60.json
60	6	2	6	7	41	1	2	1	1	rational	weight_60.json
60	6	2	33	7	41	1	3	1	1	rational	weight_60.json
60	6	2	48	7	41	1	4	1	1	rational	weight_60.json
60	6	2	48	7	41	1	5	1	1	rational	weight_60.json
62	8	2	6	7	17	1	1	1	1	rational	weight_62.json
62	8	2	75	7	17	1	2	1	1	rational	weight_62.json
62	8	2	33	7	17	1	3	1	1	rational	weight_62.json
62	8	2	48	7	17	1	4	1	1	rational	weight_62.json
64	10	2	18	7	56	1	1	1	1	rational	weight_64.json
64	10	2	45	7	56	1	2	1	1	rational	weight_64.json
64	10	2	27	7	56	1	3	1	1	rational	weight_64.json
64	10	2	weight_64.json#orbit=1,place=4,coordinate=0	7	weight_64.json#orbit=1,place=4,coordinate=1	1	4	1	2	algebraic	weight_64.json
66	12	2	57	7	23	1	1	1	1	rational	weight_66.json
66	12	2	78	7	23	1	2	1	1	rational	weight_66.json
66	12	2	3	7	23	1	3	1	1	rational	weight_66.json
66	12	2	57	7	23	1	4	1	1	rational	weight_66.json
66	12	2	24	7	23	1	5	1	1	rational	weight_66.json
68	14	2	42	7	26	1	1	1	1	rational	weight_68.json
68	14	2	69	7	26	1	2	1	1	rational	weight_68.json
68	14	2	39	7	26	1	3	1	1	rational	weight_68.json
68	14	2	69	7	26	1	4	1	1	rational	weight_68.json
68	14	2	12	7	26	1	5	1	1	rational	weight_68.json
70	16	2	45	7	11	1	1	1	1	rational	weight_70.json
70	16	2	54	7	11	1	2	1	1	rational	weight_70.json
70	16	2	54	7	11	1	3	1	1	rational	weight_70.json
70	16	2	9	7	11	1	4	1	2	rational	weight_70.json
72	18	2	42	7	5	1	1	1	1	rational	weight_72.json
72	18	2	39	7	5	1	2	1	1	rational	weight_72.json
72	18	2	66	7	5	1	3	1	1	rational	weight_72.json
72	18	2	39	7	5	1	4	1	1	rational	weight_72.json
72	18	2	15	7	5	1	5	1	1	rational	weight_72.json
72	18	2	42	7	5	1	6	1	1	rational	weight_72.json
74	20	2	24	7	35	1	1	1	1	rational	weight_74.json
74	20	2	30	7	35	1	2	1	1	rational	weight_74.json
74	20	2	51	7	35	1	3	1	1	rational	weight_74.json
74	20	2	51	7	35	1	4	1	1	rational	weight_74.json
74	20	2	30	7	35	1	5	1	1	rational	weight_74.json
76	22	2	27	7	47	1	1	1	1	rational	weight_76.json
76	22	2	27	7	47	1	2	1	1	rational	weight_76.json
76	22	2	36	7	47	1	3	1	1	rational	weight_76.json
76	22	2	36	7	47	1	4	1	1	rational	weight_76.json
76	22	2	72	7	47	1	5	1	2	rational	weight_76.json
78	24	2	6	7	68	1	1	1	1	rational	weight_78.json
78	24	2	75	7	68	1	2	1	1	rational	weight_78.json
78	24	2	60	7	68	1	3	1	1	rational	weight_78.json
