weight	weight_residue	ell_1	a_ell_1	ell_2	a_ell_2	orbit	place	e	f	kind	weight_file
12	12	3	252	5	222	1	1	1	1	rational	weight_12.json
16	16	3	236	5	398	1	1	1	1	rational	weight_16.json
18	18	3	324	5	198	1	1	1	1	rational	weight_18.json
20	20	3	476	5	318	1	1	1	1	rational	weight_20.json
22	22	3	180	5	246	1	1	1	1	rational	weight_22.json
24	24	3	76	5	494	1	1	1	1	rational	weight_24.json
24	24	3	460	5	494	1	2	1	1	rational	weight_24.json
26	26	3	292	5	38	1	1	1	1	rational	weight_26.json
28	28	3	188	5	414	1	1	1	1	rational	weight_28.json
28	28	3	188	5	414	1	2	1	1	rational	weight_28.json
30	30	3	148	5	86	1	1	1	2	rational	weight_30.json
32	32	3	172	5	78	1	1	1	1	rational	weight_32.json
32	32	3	44	5	78	1	2	1	1	rational	weight_32.json
34	34	3	260	5	390	1	1	1	1	rational	weight_34.json
34	34	3	388	5	390	1	2	1	1	rational	weight_34.json
36	36	3	412	5	510	1	1	1	1	rational	weight_36.json
36	36	3	156	5	510	1	2	1	2	rational	weight_36.json
38	38	3	116	5	438	1	1	1	1	rational	weight_38.json
38	38	3	372	5	438	1	2	1	1	rational	weight_38.json
40	40	3	396	5	174	1	1	1	1	rational	weight_40.json
40	40	3	396	5	174	1	2	1	1	rational	weight_40.json
40	40	3	12	5	174	1	3	1	1	rational	weight_40.json
42	42	3	228	5	230	1	1	1	1	rational	weight_42.json
42	42	3	100	5	230	1	2	1	1	rational	weight_42.json
42	42	3	228	5	230	1	3	1	1	rational	weight_42.json
44	44	3	124	5	94	1	1	1	1	rational	weight_44.json
44	44	3	124	5	94	1	2	1	1	rational	weight_44.json
44	44	3	380	5	94	1	3	1	1	rational	weight_44.json
46	46	3	84	5	278	1	1	2	1	rational	weight_46.json
46	46	3	340	5	278	1	2	1	1	rational	weight_46.json
48	48	3	492	5	270	1	1	1	1	rational	weight_48.json
48	48	3	492	5	270	1	2	1	1	rational	weight_48.json
48	48	3	108	5	270	1	3	1	1	rational	weight_48.json
48	48	3	108	5	270	1	4	1	1	rational	weight_48.json
50	50	3	196	5	70	1	1	1	1	rational	weight_50.json
50	50	3	324	5	70	1	2	1	1	rational	weight_50.json
50	50	3	196	5	70	1	3	1	1	rational	weight_50.json
52	52	3	348	5	190	1	1	1	1	rational	weight_52.json
52	52	3	92	5	190	1	2	2	1	rational	weight_52.json
52	52	3	348	5	190	1	3	1	1	rational	weight_52.json
54	54	3	308	5	118	1	1	1	1	rational	weight_54.json
54	54	3	52	5	118	1	2	1	1	rational	weight_54.json
54	54	3	52	5	118	1	3	1	1	rational	weight_54.json
54	54	3	308	5	118	1	4	1	1	rational	weight_54.json
56	56	3	460	5	366	1	1	1	1	rational	weight_56.json
56	56	3	460	5	366	1	2	1	1	rational	weight_56.json
56	56	3	332	5	366	1	3	1	1	rational	weight_56.json
56	56	3	332	5	366	1	4	1	1	rational	weight_56.json
58	58	3	164	5	422	1	1	1	1	rational	weight_58.json
58	58	3	36	5	422	1	2	1	1	rational	weight_58.json
58	58	3	164	5	422	1	3	1	1	rational	weight_58.json
58	58	3	36	5	422	1	4	1	1	rational	weight_58.json
60	60	3	60	5	286	1	1	1	1	rational	weight_60.json
60	60	3	60	5	286	1	2	1	1	rational	weight_60.json
60	60	3	316	5	286	1	3	1	1	rational	weight_60.json
60	60	3	60	5	286	1	4	1	1	rational	weight_60.json
60	60	3	316	5	286	1	5	1	1	rational	weight_60.json
62	62	3	20	5	470	1	1	1	2	rational	weight_62.json
